stimulus_id,clip_id,strategy,sample_path,reference_text,hypothesis_text,wer,cer,speaker_similarity,mos_1_5,intelligibility_1_5,speaker_match_1_5,artifact_notes
atl_0001,fleurs_en_us_0027,uniform,samples/fleurs_en_us_0027__uniform.wav,some reports put the official death toll at eight and official reports confirm that up to 30 were injured but final numbers are not yet known,,1.0,1.0,0.3861202299594879,,,,
atl_0002,minds14_en_us_0030,patch,samples/minds14_en_us_0030__patch.wav,how would I set up a joint account for myself to my partner,,1.0,1.0,0.057949744164943695,,,,
atl_0003,minds14_en_us_0031,energy_salience,samples/minds14_en_us_0031__energy_salience.wav,how much information about signing up for a joint account,I'd like the information about the setting up for a joint account.,0.5,0.3125,0.8378012180328369,,,,
atl_0004,minds14_en_us_0028,linear_selector_v1,samples/minds14_en_us_0028__linear_selector_v1.wav,I'm on your ass and my husband and I are trying to set up a joint account I can see where I set up an account by myself but I'm not sure where to go to set up a joint account can you help me with this please thank you,"Hi, I'm under act and my husband and I are trying to set up a joint account. I can see where I set up an account by myself, but I'm not sure where to go to set up a joint account. Can you help me with this, please? Thank you. Thank you.",0.12,0.09523809523809523,0.9014455676078796,,,,
atl_0005,2277-149897-0000,patch,samples/2277-149897-0000__patch.wav,WHEN HURSTWOOD GOT BACK TO HIS OFFICE AGAIN HE WAS IN A GREATER QUANDARY THAN EVER,Thank you.,1.0,0.9253731343283582,0.010077177546918392,,,,
atl_0006,2412-153947-0000,trained_selector_v1,samples/2412-153947-0000__trained_selector_v1.wav,PREFACE TO SECOND EDITION,Preface to the second edition.,0.25,0.13636363636363635,0.7278493642807007,,,,
atl_0007,fleurs_en_us_0032,acoustic_salience,samples/fleurs_en_us_0032__acoustic_salience.wav,the first cases of the disease this season were reported in late july,,1.0,1.0,0.6868534088134766,,,,
atl_0008,2428-83705-0000,linear_selector_v1,samples/2428-83705-0000__linear_selector_v1.wav,HER FATHER IS A MOST REMARKABLE PERSON TO SAY THE LEAST,Her father is the most remarkable person to say the least.,0.09090909090909091,0.06666666666666667,0.8270900845527649,,,,
atl_0009,minds14_en_us_0026,patch,samples/minds14_en_us_0026__patch.wav,set up a joint account,I'll see you next time.,1.0,0.9444444444444444,0.11263791471719742,,,,
atl_0010,2277-149896-0000,patch,samples/2277-149896-0000__patch.wav,HE WAS IN A FEVERED STATE OF MIND OWING TO THE BLIGHT HIS WIFE'S ACTION THREATENED TO CAST UPON HIS ENTIRE FUTURE,,1.0,1.0,0.06300219893455505,,,,
atl_0011,2277-149874-0000,vad_salience,samples/2277-149874-0000__vad_salience.wav,MINNIE'S FLAT AS THE ONE FLOOR RESIDENT APARTMENTS WERE THEN BEING CALLED WAS IN A PART OF WEST VAN BUREN STREET INHABITED BY FAMILIES OF LABOURERS AND CLERKS MEN WHO HAD COME AND WERE STILL COMING WITH THE RUSH OF POPULATION POURING IN AT THE RATE OF FIFTY THOUSAND A YEAR,"Mini-slap, as the one-floor resident apartments were then being called, was in a part of West Van Buren Street inhabited by families of laborers and clerks. Men who had come and were still coming, with the rush of population pouring in at the rate of 50,000 a year.",0.09803921568627451,0.08520179372197309,0.8773036599159241,,,,
atl_0012,2428-83699-0000,patch,samples/2428-83699-0000__patch.wav,I IMAGINE THERE WERE SEVERAL KINDS OF OLD FASHIONED CHRISTMASES BUT IT COULD HARDLY BE WORSE THAN A CHOP IN MY CHAMBERS OR HORROR OF HORRORS AT THE CLUB OR MY COUSIN LUCY'S NOTION OF WHAT SHE CALLS THE FESTIVE SEASON,,1.0,1.0,0.049144621938467026,,,,
atl_0013,251-136532-0000,trained_selector_v1,samples/251-136532-0000__trained_selector_v1.wav,THEY ALSO FOUND A MARTIAN CALENDAR THE YEAR HAD BEEN DIVIDED INTO TEN MORE OR LESS EQUAL MONTHS AND ONE OF THEM HAD BEEN DOMA,"They also found a Martian calendar. The year had been divided into 10 more or less equal months, and one of them had been Belma.",0.08,0.0594059405940594,0.8865278959274292,,,,
atl_0014,2412-153948-0000,patch,samples/2412-153948-0000__patch.wav,IF THE READER WILL EXCUSE ME I WILL SAY NOTHING OF MY ANTECEDENTS NOR OF THE CIRCUMSTANCES WHICH LED ME TO LEAVE MY NATIVE COUNTRY THE NARRATIVE WOULD BE TEDIOUS TO HIM AND PAINFUL TO MYSELF,,1.0,1.0,-0.04654683917760849,,,,
atl_0015,2412-153954-0000,patch,samples/2412-153954-0000__patch.wav,SHORTLY AFTER PASSING ONE OF THESE CHAPELS WE CAME SUDDENLY UPON A VILLAGE WHICH STARTED UP OUT OF THE MIST AND I WAS ALARMED LEST I SHOULD BE MADE AN OBJECT OF CURIOSITY OR DISLIKE,,1.0,1.0,-0.05521457642316818,,,,
atl_0016,minds14_en_us_0029,energy_salience,samples/minds14_en_us_0029__energy_salience.wav,open up a joint account with my partner,"Hello, this is open up a joint account with my partner. I want to just look at how to do that.",1.625,1.21875,0.8251492381095886,,,,
atl_0017,minds14_en_us_0032,acoustic_salience,samples/minds14_en_us_0032__acoustic_salience.wav,hi I was wondering how I would set up a joint account with my partner,"Hi, I was wondering how I would set up a joint account with my partner.",0.0,0.0,0.8162944912910461,,,,
atl_0018,251-118436-0000,patch,samples/251-118436-0000__patch.wav,HE WAS YOUNG NO SPEAR HAD TOUCHED HIM NO POISON LURKED IN HIS WINE,,1.0,1.0,0.01297515258193016,,,,
atl_0019,minds14_en_us_0032,patch,samples/minds14_en_us_0032__patch.wav,hi I was wondering how I would set up a joint account with my partner,Thank you.,1.0,0.9090909090909091,0.05379776284098625,,,,
atl_0020,fleurs_en_us_0026,patch,samples/fleurs_en_us_0026__patch.wav,a former filipino policeman has kept hong kong tourists hostage by hijacking their bus in manila the capital of the philippines,I'm not sure what to do with this.,1.0,0.8317757009345794,0.0735640674829483,,,,
atl_0021,2277-149874-0000,patch,samples/2277-149874-0000__patch.wav,MINNIE'S FLAT AS THE ONE FLOOR RESIDENT APARTMENTS WERE THEN BEING CALLED WAS IN A PART OF WEST VAN BUREN STREET INHABITED BY FAMILIES OF LABOURERS AND CLERKS MEN WHO HAD COME AND WERE STILL COMING WITH THE RUSH OF POPULATION POURING IN AT THE RATE OF FIFTY THOUSAND A YEAR,,1.0,1.0,0.04231015220284462,,,,
atl_0022,251-136532-0000,patch,samples/251-136532-0000__patch.wav,THEY ALSO FOUND A MARTIAN CALENDAR THE YEAR HAD BEEN DIVIDED INTO TEN MORE OR LESS EQUAL MONTHS AND ONE OF THEM HAD BEEN DOMA,Thanks for watching!,1.0,0.8910891089108911,-0.03184250742197037,,,,
