stimulus_id,clip_id,strategy,sample_path,reference_text,hypothesis_text,wer,cer,speaker_similarity,mos_1_5,intelligibility_1_5,speaker_match_1_5,artifact_notes
atl_0001,1462-170145-0000,energy_salience,samples/1462-170145-0000__energy_salience.wav,ON THE LAST SATURDAY IN APRIL THE NEW YORK TIMES PUBLISHED AN ACCOUNT OF THE STRIKE COMPLICATIONS WHICH WERE DELAYING ALEXANDER'S NEW JERSEY BRIDGE AND STATED THAT THE ENGINEER HIMSELF WAS IN TOWN AND AT HIS OFFICE ON WEST TENTH STREET,"On the last Saturday in April, the New York Times published an account of the strike complications, which were delaying Alexander's New Jersey bridge, and stated that the engineer himself was in town in that his office on West 10th Street.",0.07317073170731707,0.03076923076923077,0.8467586636543274,,,,
atl_0002,fleurs_en_us_0002,energy_salience,samples/fleurs_en_us_0002__energy_salience.wav,the u.n. also hopes to finalize a fund to help countries affected by global warming to cope with the impacts,The UN also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,0.09523809523809523,0.0,0.7333540916442871,,,,
atl_0003,2086-149214-0000,uniform,samples/2086-149214-0000__uniform.wav,THE NARRATIVE IT MAY BE IS WOVEN OF SO HUMBLE A TEXTURE AS TO REQUIRE THIS ADVANTAGE AND AT THE SAME TIME TO RENDER IT THE MORE DIFFICULT OF ATTAINMENT,"A narrative, it may be, is woven to so humble a texture as to require disadvantage and at the same time, to render the more difficult entertainment.",0.23333333333333334,0.11475409836065574,0.5885708332061768,,,,
atl_0004,174-84280-0000,uniform,samples/174-84280-0000__uniform.wav,HOW WE MUST SIMPLIFY,Have enough simplified.,1.0,0.5882352941176471,0.19234944880008698,,,,
atl_0005,minds14_en_us_0002,linear_selector_v1,samples/minds14_en_us_0002__linear_selector_v1.wav,hi I'd like to set up a joint account with my partner I'm not seeing the option to do it on the app so I called in to get some help can I do it over the phone with you and give you the information,"Hi, I'd like to set up a joint account with my partner. I'm not seeing the option to do it on the app, so I called in to get some help. Can I just do it over the phone with you and give you the information? Or should I do it in the app and I'm missing something? Okay, I'd prefer to just do it over the phone if possible. Thanks.",0.5777777777777777,0.6447368421052632,0.8127821683883667,,,,
atl_0006,fleurs_en_us_0011,uniform,samples/fleurs_en_us_0011__uniform.wav,local authorities are warning residents in the vicinity of the plant to stay indoors turn off air-conditioners and not to drink tap water,,1.0,1.0,0.45184844732284546,,,,
atl_0007,minds14_en_us_0024,uniform,samples/minds14_en_us_0024__uniform.wav,I'd like to set up a joint account,"I bet you did it, I bet you did it myself.",1.375,0.9259259259259259,0.14210954308509827,,,,
atl_0008,minds14_en_us_0017,vad_salience,samples/minds14_en_us_0017__vad_salience.wav,how do I set up a joint account,I know we said as a joint account.,0.625,0.4583333333333333,0.7390586137771606,,,,
atl_0009,1462-170142-0000,patch,samples/1462-170142-0000__patch.wav,THE LAST TWO DAYS OF THE VOYAGE BARTLEY FOUND ALMOST INTOLERABLE,,1.0,1.0,0.0656052753329277,,,,
atl_0010,fleurs_en_us_0004,vad_salience,samples/fleurs_en_us_0004__vad_salience.wav,the major religion in moldova is orthodox christian,And now you're going to be moving on to the last question.,1.5,0.75,0.701872706413269,,,,
atl_0011,minds14_en_us_0016,linear_selector_v1,samples/minds14_en_us_0016__linear_selector_v1.wav,how do I create a joint account,"I'm going to kill you, I'm going to kill you, I'm going to kill you.",2.142857142857143,1.6,0.5471550226211548,,,,
atl_0012,fleurs_en_us_0008,acoustic_salience,samples/fleurs_en_us_0008__acoustic_salience.wav,pronunciation is relatively easy in italian since most words are pronounced exactly how they are written,The announcement is relatively easy in Italian since most words are pronounced exactly how they are written.,0.125,0.1348314606741573,0.8119326233863831,,,,
atl_0013,1272-141231-0000,patch,samples/1272-141231-0000__patch.wav,A MAN SAID TO THE UNIVERSE SIR I EXIST,,1.0,1.0,0.035071879625320435,,,,
